Chapter Name,Lesson Name,Correct Lesson Content,
Little Baby: 4-16 Weeks,Welcome,"<div class=""se-component se-video-container __se__float-none"" style=""width: 100%""><figure style=""width: 100%; height: 56.25%; padding-bottom: 56.25%;""><iframe frameborder=""0"" allowfullscreen="""" src=""https://player.vimeo.com/video/1065661504?share=copy"" data-proportion=""true"" data-percentage=""100%,56.25%"" data-size=""100%,56.25%"" data-align=""none"" data-file-name=""1065661504?share=copy"" data-file-size=""0"" data-origin=""100%,56.25%"" style=""width: 100%; height: 100%;""></iframe></figure></div><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px"">​<br></span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px"">Welcome to the Toddler Toolkit™️ your one stop shop for parenting Toddlers and the only parenting program globally designed and written by a Paediatrician and Paediatric Psychologist.</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><br></span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><strong><em>What’s the best way to approach this course?</em></strong></span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><strong>TIP 1:&nbsp;</strong>Both parent/carers complete it (together if possible)</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><strong>TIP 2:&nbsp;</strong>Don’t skip the parenting section - this is what is going to set you up for success!&nbsp;</span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><br></span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><strong><em>2 ways people &nbsp;like to complete the Program</em></strong></span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><strong>OPTION A:</strong></span></p><ul><li style=""font-size: 16px""><p style=""line-height: 1.375rem"">Watch all the videos first&nbsp;</p></li><li style=""font-size: 16px""><p style=""line-height: 1.375rem"">Then dive into the written content after for more depth</p></li><li style=""font-size: 16px""><p style=""line-height: 1.375rem"">The videos will take about 1.5 hours to work your way through</p></li></ul><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><strong>OPTION B:&nbsp;</strong></span></p><ul><li style=""font-size: 16px""><p style=""line-height: 1.375rem"">Work your way through the videos and written content in the sequential modules&nbsp;</p></li><li style=""font-size: 16px""><p style=""line-height: 1.375rem"">This will take approx 4hours (4x 1 hour sessions is probably the most palatable)&nbsp;</p></li></ul><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px""><br></span></p><p style=""line-height: 1.375rem;text-align: left""><span style=""font-size: 16px"">No matter which approach you take remember you’ll&nbsp;<strong><em>always have access to the material&nbsp;</em></strong>and as different milestones, developments or problematic behaviour occurs with your toddler you’ll be able to refresh specific sections whenever you want.</span></p><p style=""line-height: 1.375rem;text-align: left""><br></p><p style=""line-height: 1.375rem;text-align: left""><span style=""color: rgb(91, 91, 91);font-size: 16px""><br></span></p><p style=""line-height: 1.375rem;text-align: left"">​<br></p>",
Little Baby: 4-16 Weeks,Course Overview Video,"<p><br></p><div class=""se-component se-video-container __se__float-none"" style=""width: 100%""><figure style=""width: 100%; height: 56.25%; padding-bottom: 56.25%;""><iframe frameborder=""0"" allowfullscreen="""" src=""https://player.vimeo.com/video/1061923279?share=copy"" data-proportion=""true"" data-percentage=""100%,56.25%"" data-size=""100%,56.25%"" data-align=""none"" data-file-name=""1061923279?share=copy"" data-file-size=""0"" data-origin=""100%,56.25%"" style=""width: 100%; height: 100%;""></iframe></figure></div><p>​<span style=""color: rgb(91, 91, 91);font-size: 16px"">In this video, Dr Golly looks at the incredible world of twins. The fundamentals remain the same and economies of scale do exist, but it can certainly be challenging to juggle everything at once. Dr Golly will take you through the juggle and maintain the focus on nourishing the emotional needs of parents. Twins have an added bonus of deriving comfort from the closeness of their ‘womb-mate’ and this often helps them to sleep longer, meaning the ideal routine is far closer than you might think.</span>​<br></p>",
1.1 Sleep Environment,Cot Position,"<p><span style=""font-size: 16px"">The American Academy of Pediatrics and Red Nose Foundation recommend room-sharing for the first 6-12 months of your baby’s life as this has been shown to reduce the risk of SIDS and makes it easier to comfort, feed and watch your baby.Babies are incredibly noisy sleepers and these sounds often wake parents, when the child is still sleeping. While room sharing, sometimes moving the cot to the other side of the bed where the non-breastfeeding parent is sleeping, or at the end of the bed can be helpful as your baby is less likely to smell the breastmilk, or be woken by your movements.</span></p>",
1.1 Sleep Environment,SIDS,"<p><span style=""font-size: 16px"">Remove any distractions above your baby’s cot such as mobiles or wall hangings. Move these to the change table area, to provide a much-needed distraction when your wiggle-worm is having a nappy change!</span></p><div class=""se-component se-image-container __se__float-none""><figure><img src=""https://files.cdn.thinkific.com/file_uploads/331856/images/f75/8cf/0c7/Dr_Golly_-_SIDS_Sleeping_Chart.jpg"" alt="""" data-rotate="""" data-proportion=""true"" data-size="","" data-align=""none"" data-percentage=""auto,auto"" data-file-name=""Dr_Golly_-_SIDS_Sleeping_Chart.jpg"" data-file-size=""0"" data-origin="","" origin-size=""2480,4606"" style=""""></figure></div>",Written content at the top incorrect. Correct in bubble
1.1 Sleep Environment,White Noise,"<p><span style=""font-size: 16px""><strong>Babies and toddlers LOVE white noise and it will become a very positive sleep association for them</strong>. At this age it isn’t necessarily soothing for toddlers (like it is for younger babies), but serves instead to drown out external noise. It is particularly useful if there is another sibling in the house, or loud noise emanating from outside.&nbsp;It is inexpensive, easy and portable. There are many free apps available from the Itunes store that create these sounds. There are also sound machines available from baby stores and online, both battery operated and mains powered. These offer true white noise but also nature sounds such as rain, ocean sounds and more. If your toddler has never had white noise played before then I suggest starting with nature sounds as these are more gentle.&nbsp;Whichever you use, it should be played at a medium level for every sleep, for the entire duration of sleep, even overnight.</span></p>",
1.1 Sleep Environment,Room Temperature and Dressing Your Baby,"<p><span style=""font-size: 16px"">The ideal room temperature for a baby is between 19-22 degrees. Dressing your baby appropriately is key to ensuring a good night’s sleep and them not waking from being too hot or too cold. Babies commonly wake from being cold as the temperature drops in the early hours of the morning.</span></p><p><span style=""font-size: 16px""><strong>What is a tog rating and how does it help you dress your baby appropriately?</strong></span></p><p><span style=""font-size: 16px"">A TOG (""Thermal Overall Grade"") is a way to measure the insulation and warmth of sleepwear and bedding. The lower the TOG rating, the lighter the fabric. The higher the rating, the more padded it is for warmth and is more suitable to cooler temperatures. When buying sleepwear like swaddles, sleeping bags, sleepsuits, or bedding, look for TOG-rated products. These are most helpful as your baby cannot regulate their temperature like adults can and give you a better guide compared to something being a “winter weight” or “summer weight.”</span></p><p><span style=""font-size: 16px"">Keep in mind an adult’s winter duvet is generally rated between 10.5-13.5 TOG and a summer duvet between 2.5-7 TOG.</span></p><p><span style=""font-size: 16px""><strong>NOTE:</strong> All babies sleep differently just like adults; some run cooler and some hotter. The below table is a guide only, and sometimes trial and error is needed to work out what your baby prefers.</span></p><p><span style=""font-size: 16px""><strong>TIP</strong><br>Does your baby always sleep on their tummy curled up with their legs underneath them? Or wet through their nappies overnight? These are signs your baby might be cold overnight. Try adding another layer or bumping up the room temperature slightly to see if that helps. This is based on anecdotal evidence only and not peer-reviewed research.</span></p><p>&nbsp;</p><div class=""se-component se-image-container __se__float-none""><figure><a download=""https://25c623a83912a41d23bcc5865ecf275d.cdn.bubble.io/f1741923579368x327363865785010900/DrGolly-What%20to%20wear-TOG%20chart-Extended.pdf?_gl=1*962y19*_gcl_au*MTI3OTI3MTM0MC4xNzM2ODIyMzE2*_ga*NzU4NzgzNDY4LjE2NjU0NTY5Mjg.*_ga_BFPVR2DEE2*MTc0MTkwNjQwNS42MS4xLjE3NDE5MjM3ODMuNTUuMC4w"" target=""_blank"" href=""https://25c623a83912a41d23bcc5865ecf275d.cdn.bubble.io/f1741923579368x327363865785010900/DrGolly-What%20to%20wear-TOG%20chart-Extended.pdf?_gl=1*962y19*_gcl_au*MTI3OTI3MTM0MC4xNzM2ODIyMzE2*_ga*NzU4NzgzNDY4LjE2NjU0NTY5Mjg.*_ga_BFPVR2DEE2*MTc0MTkwNjQwNS42MS4xLjE3NDE5MjM3ODMuNTUuMC4w"" data-image-link=""image""><img src=""https://files.cdn.thinkific.com/file_uploads/331856/images/926/316/afe/1718882925758.png"" alt="""" data-rotate="""" data-proportion=""true"" data-size="","" data-align=""none"" data-percentage=""auto,auto"" data-file-name=""1718882925758.png"" data-file-size=""0"" data-origin="","" data-image-link=""https://25c623a83912a41d23bcc5865ecf275d.cdn.bubble.io/f1741923579368x327363865785010900/DrGolly-What%20to%20wear-TOG%20chart-Extended.pdf?_gl=1*962y19*_gcl_au*MTI3OTI3MTM0MC4xNzM2ODIyMzE2*_ga*NzU4NzgzNDY4LjE2NjU0NTY5Mjg.*_ga_BFPVR2DEE2*MTc0MTkwNjQwNS42MS4xLjE3NDE5MjM3ODMuNTUuMC4w"" style=""""></a></figure></div><p><span style=""font-size: 16px""><strong>DOWNLOAD OUR 'DRESSING YOUR BABY' GUIDE <a download=""HERE"" target=""_blank"" href=""https://25c623a83912a41d23bcc5865ecf275d.cdn.bubble.io/f1741923579368x327363865785010900/DrGolly-What%20to%20wear-TOG%20chart-Extended.pdf?_gl=1*962y19*_gcl_au*MTI3OTI3MTM0MC4xNzM2ODIyMzE2*_ga*NzU4NzgzNDY4LjE2NjU0NTY5Mjg.*_ga_BFPVR2DEE2*MTc0MTkwNjQwNS42MS4xLjE3NDE5MjM3ODMuNTUuMC4w"">HERE</a></strong></span></p>",
1.1 Sleep Environment,Darkness,"<p><span style=""font-size: 16px"">It is crucial to make your toddler’s sleep environment as dark as possible. This is to optimise their melatonin production. Melatonin is our sleep hormone and it is produced in the presence of darkness, so any light coming in - can interfere with its production, leading to cat napping and difficulty falling asleep and/or linking sleep cycles. Having a darkened room will also help your toddler be less distracted when they come into a lighter stage of sleep. Shadows and objects around the room are harder to see and your toddler will be more likely to drift back off into another sleep cycle if the room is dark.</span></p><p><span style=""font-size: 16px""><br></span></p><p></p><p><span style=""font-size: 16px""><strong><em>I</em></strong></span><span style=""font-size: 16px""><strong><em>deally it should be dark enough so that you shouldn’t be able to see your hand in front of your face.</em></strong></span></p><p><span style=""font-size: 16px""><br></span></p><p><span style=""font-size: 16px"">There are many blackout blind options available, both permanent and portable, and window films that are better for oddly shaped windows. Overnight it should be very dark too, so avoid using night lights or lamps at this age (fear of the dark does not usually occur this young, and is more commonly a problem over 2-2.5 years old). If your toddler is having a nap while out in the pram (preferably only their morning nap as we only want them to have a short 20-30 minutes here), using a breathable blackout cover will help reduce external stimulation.</span>​</p>",Content from toddler program 
1.1 Sleep Environment,Car Seat Safety and Sleep,"<p><span style=""font-size: 16px"">Red Nose Australia and the American Academy of Paediatrics (AAP) don't promote sleeping in car seats for long periods of time due to the increased risk of SIDS. Babies are top heavy (their head is disproportionately heavier than the rest of them) and when they sit in an upright inclined position like they do in a car seat or capsule it may cause your baby's neck to flex forward or chin down which may block their airway. <strong>Never</strong> leave a baby asleep unsupervised in a car seat or capsule.​</span></p>",
1.1 Sleep Environment,Hurdles That Can Wake Your Baby,"<p><br></p><div class=""se-component se-image-container __se__float-none""><figure><a download=""https://25c623a83912a41d23bcc5865ecf275d.cdn.bubble.io/f1741923542491x639337979135142500/DrGolly-Unsettled%20Checklist-2021.pdf?_gl=1*1jue20u*_gcl_au*MTI3OTI3MTM0MC4xNzM2ODIyMzE2*_ga*NzU4NzgzNDY4LjE2NjU0NTY5Mjg.*_ga_BFPVR2DEE2*MTc0MTkwNjQwNS42MS4xLjE3NDE5MjM3ODMuNTUuMC4w"" target=""_blank"" href=""https://25c623a83912a41d23bcc5865ecf275d.cdn.bubble.io/f1741923542491x639337979135142500/DrGolly-Unsettled%20Checklist-2021.pdf?_gl=1*1jue20u*_gcl_au*MTI3OTI3MTM0MC4xNzM2ODIyMzE2*_ga*NzU4NzgzNDY4LjE2NjU0NTY5Mjg.*_ga_BFPVR2DEE2*MTc0MTkwNjQwNS42MS4xLjE3NDE5MjM3ODMuNTUuMC4w"" data-image-link=""image""><img src=""https://files.cdn.thinkific.com/file_uploads/331856/images/14d/c0f/ed9/DrGolly-Unsettled_Checklist-2021-Program_%281%29.jpg"" alt="""" data-rotate="""" data-proportion=""true"" data-size="","" data-align=""none"" data-percentage=""auto,auto"" data-file-name=""DrGolly-Unsettled_Checklist-2021-Program_%281%29.jpg"" data-file-size=""0"" data-origin="","" data-image-link=""https://25c623a83912a41d23bcc5865ecf275d.cdn.bubble.io/f1741923542491x639337979135142500/DrGolly-Unsettled%20Checklist-2021.pdf?_gl=1*1jue20u*_gcl_au*MTI3OTI3MTM0MC4xNzM2ODIyMzE2*_ga*NzU4NzgzNDY4LjE2NjU0NTY5Mjg.*_ga_BFPVR2DEE2*MTc0MTkwNjQwNS42MS4xLjE3NDE5MjM3ODMuNTUuMC4w"" style=""""></a></figure></div>",
1.1 Sleep Environment,Thoughts on SNOO Cots,"<p><span style=""font-size: 16px""><em><strong>Seldom does a consulting day go by without someone asking my opinion regarding the Snoo.</strong></em>&nbsp;This space-age bassinet was designed by a US paediatrician to simulate settling methods (swaddling, rocking, etc) intended to elongate a baby’s sleep and help them overcome unsettled behaviour. For many sleep-deprived parents, this provides a much-needed respite from frequent feeds and excessive crying.&nbsp;</span></p><p><span style=""font-size: 16px""><em><strong>Essentially, it’s a robotic night-nanny responding to your baby’s cry volume, rocking and shushing your baby through the night.</strong></em></span></p><p><span style=""font-size: 16px"">Aside from the hefty price tag, there are also fears regarding security, with US embedded-device security firm RedBalloon recently hacking a Snoo via WiFi, to make it shake violently, to highlight security vulnerabilities. Furthermore, although pitched to reduce the incidence of SIDS, the actual SIDS guidelines continue to recommend an empty cot/bassinet with a firm mattress; no gimmicks.Also, although there’s no current evidence for harm regarding radiation exposure, I remain somewhat reluctant to have so much gadgetry around a newborn baby.Finally, and most importantly, the Snoo misses the point.</span></p><p><span style=""font-size: 16px""><strong>&nbsp;</strong><em><strong>Put simply, if your baby needs constant resettling, then there is something being missed that’s causing this unsettled behaviour.&nbsp;</strong></em></span></p><p><span style=""font-size: 16px"">The key is to identify it, then remedy it. Once this is done, you won’t need any robots to hush your baby through the night.I see countless babies with untreated causes of unsettled behaviour, from colic to eczema, protein intolerance to reflux, and everything in between. I deeply believe that glossing over these treatable conditions does a disservice to babies.Prevention is the key, so yes - babies should/can snooze without SNOOs.******<strong>FAQ: What if I’ve already spent a fortune on a SNOO and I’m using it to settle my baby?</strong></span></p><p><span style=""font-size: 16px"">If you’ve already purchased a SNOO do not despair - you are not a bad parent, quite the contrary, you’ve invested in something to create an ideal environment for your baby, you’re a FANTASTIC parent!&nbsp;What I want you to be conscious of is monitoring your baby for cues of wind and all the other reasons that could be causing them to be unsettled.&nbsp;The aim is to do our very best to listen to them, to watch them and understand what they are telling us, so that we can help alleviate causes of discomfort.The other aim prior to 6 weeks is to create healthy sleep foundations, in the first 3 weeks of life you can cuddle or rock your baby as they drift off to sleep - don’t worry about negative sleep associations in this period, just enjoy the bonding time.After 3 weeks we want to start creating healthy sleep foundations - e.g. our babies being put down sleepy, but not asleep; allowing them to fall asleep independently. Remember, they are still learning at this point, so if you’re turning the SNOO off or down for even one sleep a day - that’s a terrific start.To recap - you’re a great parent, never forget this! Always look for the cause of the unsettled behaviour so you can prevent it - rather than mask it - and work towards independent settling in time.</span></p><p><span style=""font-size: 16px""><strong>FAQ: I’m using the SNOO and I'd like to wean my baby off it, what do you recommend?</strong></span></p><p><span style=""font-size: 16px"">At the Dr Golly program we believe weaning off the Snoo bassinet as soon as you can, or even better, avoid using one in the first place. As discussed above SNOO bassinets can mask unsettled behaviour and if your baby needs constant resettling, then there is something being missed.&nbsp;The key is to identify why your baby is unsettled, then remedy it. Once this is done, you won’t need any fancy bassinets to rock your baby through the night.If you are already using a SNOO, then we recommend using the wean function for few days, before using it as a bassinet only, turning off the rocking feature.&nbsp;If your bub has been in the SNOO for a while, then it’s normal to take a little longer to wean off it.</span><br></p>",
