Chapter,Lesson Name,Lesson Content
1.6 Sleep Props,Dummies and Comforters,"<p><span style=""font-size: 16px"">Your baby is old enough now to really enjoy having a comforter +/- a dummy. If you haven’t done so already, introduce a comforter that will provide your baby with something to become attached to and see as a positive sleep cue.</span></p><p><span style=""font-size: 16px"">Pop the comforter down your top every so often so it takes on your smell, and leave it in your baby’s cot.</span></p><p><span style=""font-size: 16px"">If your baby takes a dummy, then choosing a comforter that you can attach multiple dummies to is important. Once past 6 months, I don’t recommend ditching the dummy until closer to 2.5-3 years old as it becomes too hard and not worth the battle.</span></p>"
1.6 Sleep Props,Finding and Replacing their Own Dummy,"<p><span style=""font-size: 16px"">You can begin to teach your baby to find and replace their own dummy from 6 months old. Now that your baby is between 8-12 months old, they are very capable of learning to do this independently.</span></p><p><span style=""font-size: 16px"">Finding and replacing their own dummy begins with showing them how to pick it up themselves and pop it in their own mouth the right way. Make it into a game during the day and let them have lots of practice.</span></p><p><span style=""font-size: 16px""><strong>Step 1: During awake time, place your baby's hand onto their dummy.<br>Step 2: Help them pick it up with their hand.</strong></span><strong><br></strong><span style=""font-size: 16px""><strong>Step 3: Guide it to their mouth with them.</strong></span></p><p><span style=""font-size: 16px"">The sooner they are able to find and replace their own dummy, the quicker they will be able to self-soothe when they wake from a nap or overnight, and at 8-12 months old they are definitely able to do this themselves.</span></p>"
1.7 Nutrition,Nutrition,"<p><span style=""font-size: 16px"">Your baby should now be progressing well with solids, and if you have any concerns, please speak to your GP or pediatrician. By now, your baby should be on 3 meals per day and sometimes a snack as well.</span></p><ul><li style=""font-size: 16px"">Always offer meals at least 1 hour before nap or bedtime as we don’t want your baby going to bed uncomfortable on a full tummy.</li><li style=""font-size: 16px"">Ensure you’re offering cooled, boiled water at meal times in a sippy cup or straw cup.</li><li style=""font-size: 16px"">As your baby approaches 9 months of age, they may show interest in dropping the post-lunchtime milk feed. If this is the case, then it should be replaced with some afternoon tea.</li><li style=""font-size: 16px"">This stage becomes more about the food than the breast milk/formula. It is important to make sure that babies are progressing with more complex textures of foods and being given many opportunities to try a range of textures. The consistency should be more mashed and chunky now, as well as some baby-led feeding encouraged.</li></ul><div class=""se-component se-image-container __se__float-none""><figure><p><img src=""https://files.cdn.thinkific.com/file_uploads/331856/images/03b/84f/92b/shutterstock_1677882433.jpg"" alt="""" data-rotate="""" data-proportion=""true"" data-size="","" data-align=""none"" data-percentage=""auto,auto"" data-file-name=""shutterstock_1677882433.jpg"" data-file-size=""0"" data-origin="","" style=""""></p></figure></div><p><br></p>"
1.7 Nutrition,The Importance of Protein,"<p><span style=""font-size: 16px"">Your baby should now be having protein at lunchtime and dinner, which will help stabilize their blood sugars overnight and help reduce night wake-ups.25-50g of a protein source should be added. These include foods like chicken, turkey, red meats, fish, egg, and dairy. Beans, legumes, and tofu are a great source of protein and can now be introduced.&nbsp;</span></p><p><span style=""font-size: 16px"">Protein can also be offered at dinnertime now; however, if your baby starts waking frequently overnight, then take a step back from the protein at dinnertime for a couple of weeks, then reintroduce it.</span></p><p><span style=""font-size: 16px""><strong>GENERAL NOTE:</strong><br><em>I'm deliberate in the <strong>25-50g of protein</strong> measurement—I don't want parents googling micronutrients of protein sources—it's a general guide to make protein-rich meals.</em></span></p><p><br></p><div class=""se-component se-image-container __se__float-none""><figure><img src=""https://files.cdn.thinkific.com/file_uploads/331856/images/a27/a72/05d/shutterstock_571277590.jpg"" alt="""" data-rotate="""" data-proportion=""true"" data-size="","" data-align=""none"" data-percentage=""auto,auto"" data-file-name=""shutterstock_571277590.jpg"" data-file-size=""0"" data-origin="","" origin-size=""1000,667"" style=""""></figure></div>"
1.7 Nutrition,Including Your Baby at Family Meal Times,"<p><span style=""font-size: 16px"">Offering your baby what the rest of the family is eating is absolutely essential as your baby gets older. I discourage people from looking at <em>‘baby cookbooks’</em> as a version of a family meal is always best (<em>before any salt or chili is added to it</em>). I suggest that by 12 months of age, your baby will be eating family meals, and the only way to introduce them to those foods is to let them try them (<em>again, slightly modified so as not to have salt or chili</em>).</span></p><p><span style=""font-size: 16px"">Tip: If you aren’t eating your main meal when your baby does at 5 PM, then it can be helpful to make a bit extra for your baby for the next night and heat it up for them. This will ensure they are still getting variety and eating what you are, plus it means you don’t have to cook anything special just for them.</span></p><div class=""se-component se-image-container __se__float-none""><figure><p><img src=""https://files.cdn.thinkific.com/file_uploads/331856/images/ef5/803/67a/shutterstock_1157940622.jpg"" alt="""" data-rotate="""" data-proportion=""true"" data-size="","" data-align=""none"" data-percentage=""auto,auto"" data-file-name=""shutterstock_1157940622.jpg"" data-file-size=""0"" data-origin="","" style=""""></p></figure></div>"
1.7 Nutrition,Avoiding a Food/Milk Imbalance,"<p><span style=""font-size: 16px"">A food/milk imbalance can occur when your baby has large milk feeds or excessive milk feeds and is then no longer hungry enough to take solids.&nbsp;Our suggested routines take this into account and will give you a guide as to what is the best time and order to offer milk feeds and solids.&nbsp;At this age breastmilk/formula is still your baby’s primary source of nutrition however we also want them to be hungry enough to take an interest in solids and have a wide variety of flavours and textures.</span></p>"
1.7 Nutrition,Reverse Cycling,"<p><span style=""font-size: 16px""><strong>Reverse cycling</strong> occurs when a baby is having a large amount of calories overnight, which then impacts their hunger and calories consumed during the day. At this age, we want your baby to be consuming most of their calories during the day from both solids and breastmilk or formula feeds.</span></p><p><span style=""font-size: 16px"">Reducing the amount of feeds overnight they're having can significantly increase their daytime calories and is another thing that will help them sleep more soundly both day and night. A key indicator that your baby is having too many calories overnight is if they wake at 6:30-7 AM and aren't interested in their milk feed or breakfast.</span></p><p><span style=""font-size: 16px"">See our Dropping Night Feeds video in <em>Chapter 1.2 - Routine</em> on how to reduce and eliminate your baby's overnight feeds.</span></p>"
1.7 Nutrition,Tryptophan and Sleep,"<p><span style=""font-size: 16px"">Foods high in tryptophan content can help promote sleep as they release neurotransmitters serotonin and melatonin, which are our sleep hormones.</span></p><p><span style=""font-size: 16px"">Tryptophan is an essential amino acid that serves several important purposes, like nitrogen balance in adults and growth in infants. It also creates niacin, which is essential in creating the neurotransmitter serotonin. This is converted to melatonin in the presence of darkness. Melatonin is our sleep hormone, so a healthy production of this is important.</span></p><p><span style=""font-size: 16px"">Foods high in tryptophan include turkey, chicken, bananas, oats, kidney beans, dairy, and eggs.</span></p><p><span style=""font-size: 16px""><em>Note - these don’t have to specifically be eaten at night to promote sleep, they can be enjoyed all throughout the day.</em></span></p><div class=""se-component se-image-container __se__float-none""><figure><img src=""https://files.cdn.thinkific.com/file_uploads/331856/images/d74/ec1/12b/shutterstock_1173806725_%281%29.jpg"" alt="""" data-rotate="""" data-proportion=""true"" data-size="","" data-align=""none"" data-percentage=""auto,auto"" data-file-name=""shutterstock_1173806725_%281%29.jpg"" data-file-size=""0"" data-origin="","" style=""""></figure></div><p><br></p>"
1.7 Nutrition,Packet Food and Pouches,"<p><span style=""font-size: 16px"">Packet/pouch food is amazingly convenient - it’s affordable, sterile, mobile. It’s absolutely OK to use packet food. They are perfect for food on the run.</span></p><p><span style=""font-size: 16px"">In order to achieve 12 hours of overnight sleep, I recommend 25-50g of a protein source at lunch.</span></p><p><span style=""font-size: 16px""><strong><em>When it comes to packet food and pouches I always recommend you:</em></strong></span></p><p><span style=""font-size: 16px""><strong>1. Read the label.</strong><br>There's often a lot of sugar (even if they are natural sugars, they are still sugar). What looks like vegetables could be 50% apple. Remember, our babies need to learn to eat a variety of flavors, and introducing one flavor/food at a time is important. We are also yet to find a pouch that has enough protein for this lunchtime feed. If you find one, tell us!</span></p><p><span style=""font-size: 16px""><strong>2. Never let a baby eat straight from the pouch.</strong><br>Spoon feeding utilizes mouth muscles necessary for healthy growth and development. Additionally, toddlers can learn how to use a spoon to build fine motor skills. I always recommend using a spoon when feeding these purees. I'm not alarmist here - it's ok for toddlers to 'suck' on these pouches <em>occasionally (we've all forgotten a spoon on the run!).</em> However, make sure before they do this, they have started spoon-feeding themselves, eating finger foods, and drinking from a cup with minimal spilling before giving them to 'suck' on a pouch.</span></p><p><span style=""font-size: 16px""><strong>3. Ensure texture is introduced as your baby grows.</strong><br>When food texture does not progress with the development of your baby, they are not challenged to learn how to chew. Studies have found that babies who were introduced to lumpy solids after the age of nine months ate less of the food groups at seven years old than those introduced between six and nine months old. The good news is there are now lots of baby packet foods and pouches with texture!</span></p><p><span style=""font-size: 16px""><strong>4. Don't depend on pouches for their only source of fruit and veg.</strong><br>Packets and pouches shouldn't be the sole source of your baby's fruits and veggies. We want kids to accept fruits and vegetables in a variety of formats and textures! This is why the process of offering puree (to eat easily via the spoon), mash (to build texture and play with), and some soft finger food of the same ingredient when we introduce foods is so important.</span></p><p><span style=""font-size: 16px""><strong><em>Again, as we approach the starting of solids, my philosophy is to make food fun for both parents and babies - embrace the mess.</em></strong></span></p><p><span style=""font-size: 16px"">When you're out and about, you may not want your baby covered head to toe in what they are eating - and that's absolutely fine. Use packets and pouches when you need to, but make sure your baby is getting a variety of flavors and age-appropriate textures as they develop.</span></p><p><span style=""font-size: 16px"">Even when you're using packets, you can still give them handheld food. There are some great dissolvable vegetable sticks that can be terrific when you're still having fun but want to minimize the mess when you're out and about!</span></p>"
1.7 Nutrition,Calcium,"<p><span style=""font-size: 16px"">My goal by 12 months is that children have a range of foods from each core food group to meet nutritional requirements as their milk intake declines.</span></p><p><span style=""font-size: 16px"">It is not necessary for children to drink cow’s milk at 12 months of age. They are able to meet their calcium requirements in other ways.</span></p><p><span style=""font-size: 16px"">Calcium requirements at 12 months of age are 500mg/day, and this could be achieved through 2 good servings of yoghurt and cheese, or alternate dairy-free options too if this is required.</span></p><div class=""se-component se-image-container __se__float-none""><figure><p><img src=""https://files.cdn.thinkific.com/file_uploads/331856/images/e07/63b/446/shutterstock_149795786.jpg"" alt="""" data-rotate="""" data-proportion=""true"" data-size="","" data-align=""none"" data-percentage=""auto,auto"" data-file-name=""shutterstock_149795786.jpg"" data-file-size=""0"" data-origin="","" style=""""></p></figure></div>"
