Price ID,Product ID,Product Name,Product Statement Descriptor,Purchase Category
price_1RgwLSDENq1nVlsZkdFFOGKe,prod_ScAgQdp0BP52x5,Dr Golly Gold App Subscription $199 (Annual),Dr Golly Gold App Plan - Annual ,Gold Plan
price_1RdcQFDENq1nVlsZewnMcYkx,prod_SYjupCohzptIdn,Dr Golly Gold App Subscription (New),Dr Golly Gold App Plan - Monthly ,Gold Plan 
price_1RU0gqDENq1nVlsZkw3LyjTX,prod_SOoJHJV3Do4nCN,Free,Free User,Free User 
price_1RTW0lDENq1nVlsZnrBgwAjf,prod_SOIbZB6zPw3BCf,Dr Golly Gift Card - $250,Dr Golly Gift Card $250,Gift Card 
price_1RTW0VDENq1nVlsZo3RlWi5b,prod_SOIbEomNCBzCOK,Dr Golly Gift Card - $100,Dr Golly Gift Card $250,Gift Card 
price_1RMxPhDENq1nVlsZZ9HrTyfT,prod_SHWS2DPUIyrgx8,Dr Golly - Allergens Course ,Dr Golly - Allergens Course ,Single Purchase - Course 
price_1RMxNbDENq1nVlsZ66xTjPy7,prod_SHWQ4eKvsq6SST,Dr Golly - Toddler Toolkit,Dr Golly - Toddler Toolkit,Single Purchase - Course 
price_1RMxL6DENq1nVlsZlJHsRyX2,prod_SHWNZxk17hkpxR,Preparation For Newborns 0-4 Weeks,Dr Golly - Preparation For Newborns 0-4 Weeks,Single Purchase - Course 
price_1RMxKADENq1nVlsZpV39Bd90,prod_SHWMeypc3mtQGU,Pre-School Sleep Program,Dr Golly Pre-School Sleep Program,Single Purchase - Course 
price_1RMxJBDENq1nVlsZsoVPfVFT,prod_SHWLCh0hZUPcjh,Toddler Sleep Program,Dr Golly - Toddler Sleep Program,Single Purchase - Course 
price_1RMxCFDENq1nVlsZ1F730Qco,prod_SHWE5oO8RTyb31,Pre-Toddler Sleep Program,Dr Golly - Pre-Toddler Sleep Program,Single Purchase - Course 
price_1RK6l8DENq1nVlsZGQOFkTRs,prod_SEZuJxXyPmsTt6,Lactation Review,Lactation Review Booking ,Single Purchase - Service 
price_1RK6kUDENq1nVlsZgkrxgdk0,prod_SEZuJjSpaa7y5y,Sleep Review,Sleep Review Boking ,Single Purchase - Service 
price_1RJRnNDENq1nVlsZbms5RqTi,prod_SDtatrd4ZFLBBL,Big Baby Sleep Program,Dr Golly - Big Baby Sleep Program,Single Purchase - Course 
price_1RJRmnDENq1nVlsZIBDC1x17,prod_SDtZKUzta8TGqW,Little Baby Sleep Program,Dr Golly - Little Baby Sleep Program,Single Purchase - Course 
price_1RJRjEDENq1nVlsZopsqPer4,prod_SDtWT21VSBhplz,Twins Supplement,Dr Golly - Twins Supplement,
price_1RJRiNDENq1nVlsZHiLRUS5G,prod_SDtVbbxxaRnbgC,New Sibling Supplement,Dr Golly - New Sibling Supplement ,Single Purchase - Course
